age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
27.0,Male,Single,Professional,57800.0,Private,0.5,Startup,Rented,18600.0,2,1,0.0,0.0,5300.0,14000.0,7600.0,Yes,10400.0,643.0,227300.0,135000.0,Education EMI,102000.0,43,Not_Eligible,500.0
38.0,Male,Married,Post Graduate,70200.0,Government,1.9,Startup,Rented,17000.0,5,4,2800.0,0.0,5500.0,11000.0,7900.0,Yes,19100.0,685.0,320500.0,79700.0,Vehicle EMI,729000.0,41,Not_Eligible,2415.0
38.0,Female,Married,Graduate,18000.0,Private,4.1,MNC,Rented,5500.0,3,2,6400.0,10700.0,1100.0,3300.0,2800.0,Yes,4600.0,606.0,21600.0,12800.0,Education EMI,82000.0,23,Not_Eligible,500.0
32.0,Female,Married,Professional,94700.0,Private,0.7,MNC,Own,0.0,4,3,6900.0,0.0,9900.0,14500.0,15200.0,No,0.0,718.0,568500.0,325400.0,E-commerce Shopping EMI,91000.0,19,Eligible,21208.0
32.0,Female,Married,Professional,53600.0,Private,3.1,MNC,Rented,9400.0,3,2,0.0,0.0,6400.0,15300.0,4500.0,No,0.0,633.0,427000.0,211100.0,Home Appliances EMI,136000.0,35,Eligible,7920.0
48.0,Male,Married,Post Graduate,71300.0,Private,0.5,MNC,Family,0.0,2,1,4200.0,0.0,9100.0,21200.0,11800.0,Yes,10000.0,663.0,41100.0,18900.0,Vehicle EMI,1.485e+06,44,Not_Eligible,3360.0
48.0,Male,Married,Graduate,28000.0,Self-employed,26.0,MNC,Rented,7800.0,3,2,9600.0,0.0,2100.0,8300.0,3000.0,Yes,7300.0,559.0,104400.0,61200.0,Education EMI,113000.0,34,Not_Eligible,500.0
32.0,Male,Married,Graduate,52300.0,Private,0.7,MNC,Own,0.0,3,2,0.0,24400.0,7600.0,11000.0,9200.0,No,0.0,639.0,212500.0,49200.0,Education EMI,383000.0,34,Not_Eligible,500.0
27.0,Female,Single,Post Graduate,76600.0,Private,0.5,Large Indian,Rented,24900.0,1,0,0.0,0.0,7000.0,19300.0,4200.0,No,0.0,789.0,195300.0,59700.0,Personal Loan EMI,830000.0,44,Not_Eligible,10176.0
32.0,Female,Married,Post Graduate,50100.0,Government,3.8,Large Indian,Family,0.0,4,3,5300.0,11200.0,3800.0,10000.0,8500.0,No,0.0,709.0,238100.0,124900.0,Personal Loan EMI,993000.0,27,Not_Eligible,6215.0
27.0,Male,Single,Professional,97400.0,Private,3.1,Large Indian,Own,0.0,1,0,0.0,0.0,12000.0,20500.0,10300.0,No,0.0,689.0,681700.0,260000.0,Education EMI,235000.0,11,Eligible,30030.0
27.0,Male,Married,Graduate,57600.0,Private,0.5,MNC,Own,0.0,4,3,14300.0,0.0,8500.0,17300.0,10000.0,No,0.0,677.0,44300.0,17200.0,Home Appliances EMI,288000.0,11,Not_Eligible,2400.0
27.0,Female,Single,Graduate,44000.0,Private,0.7,MNC,Own,0.0,1,0,0.0,0.0,5300.0,7700.0,2700.0,No,0.0,558.0,350200.0,154200.0,Vehicle EMI,637000.0,41,Not_Eligible,9961.6
58.0,Male,Married,Graduate,40700.0,Private,23.9,Large Indian,Family,0.0,2,1,7500.0,0.0,3600.0,6800.0,4700.0,Yes,5800.0,687.0,61800.0,27200.0,Vehicle EMI,1.489e+06,59,Not_Eligible,3444.0
48.0,Male,Married,Graduate,35800.0,Private,6.2,Startup,Own,0.0,3,2,0.0,12200.0,3700.0,6600.0,2600.0,No,0.0,644.0,75200.0,44400.0,E-commerce Shopping EMI,128000.0,23,Not_Eligible,4280.0
27.0,Female,Single,Graduate,31100.0,Private,2.0,Large Indian,Family,0.0,1,0,0.0,0.0,3500.0,7800.0,5400.0,No,0.0,766.0,211700.0,96500.0,Home Appliances EMI,123000.0,28,Eligible,9504.0
38.0,Male,Married,High School,45300.0,Private,0.6,Mid-size,Family,0.0,4,3,2100.0,0.0,2400.0,9300.0,4700.0,No,0.0,680.0,102500.0,49900.0,E-commerce Shopping EMI,73000.0,18,Eligible,10720.0
48.0,Female,Married,Professional,75100.0,Private,3.7,Mid-size,Rented,23300.0,4,3,6400.0,0.0,8800.0,20600.0,4900.0,Yes,21900.0,685.0,263500.0,142900.0,E-commerce Shopping EMI,182000.0,16,Not_Eligible,500.0
38.0,Female,Single,Post Graduate,43700.0,Government,10.4,Mid-size,Own,0.0,2,1,2500.0,14800.0,4100.0,10800.0,3500.0,No,0.0,739.0,111400.0,61600.0,E-commerce Shopping EMI,114000.0,21,Not_Eligible,4400.0
27.0,Female,Married,Post Graduate,43000.0,Self-employed,1.7,Large Indian,Own,0.0,3,2,12600.0,0.0,2300.0,10700.0,7900.0,No,0.0,705.0,197200.0,64500.0,Education EMI,170000.0,17,Not_Eligible,4275.0
38.0,Female,Married,Graduate,59200.0,Private,16.0,MNC,Own,0.0,5,4,10500.0,15100.0,6100.0,17400.0,4800.0,No,0.0,669.0,179600.0,92800.0,Home Appliances EMI,176000.0,8,Not_Eligible,2650.0
38.0,Male,Married,Graduate,15000.0,Private,3.5,MNC,Family,0.0,4,3,8800.0,10000.0,2200.0,3800.0,1300.0,Yes,3400.0,622.0,10600.0,3800.0,Home Appliances EMI,289000.0,15,Not_Eligible,500.0
38.0,Female,Married,Graduate,54600.0,Private,2.9,Large Indian,Own,0.0,3,2,14600.0,0.0,7900.0,16000.0,9500.0,Yes,7900.0,565.0,179000.0,92700.0,Education EMI,88000.0,7,Not_Eligible,500.0
27.0,Female,Single,Graduate,36800.0,Self-employed,1.1,Mid-size,Own,0.0,3,2,4600.0,0.0,2400.0,10400.0,5400.0,No,0.0,669.0,281500.0,150300.0,Education EMI,350000.0,13,Not_Eligible,6930.0
32.0,Male,Single,Post Graduate,112600.0,Private,6.5,Mid-size,Family,0.0,1,0,0.0,0.0,11500.0,30100.0,21700.0,No,0.0,785.0,664900.0,280200.0,Home Appliances EMI,69000.0,26,Eligible,29580.0
32.0,Male,Single,Graduate,69100.0,Private,6.2,Mid-size,Rented,16300.0,2,1,13000.0,0.0,6200.0,19300.0,6300.0,Yes,15700.0,679.0,542600.0,239400.0,Education EMI,401000.0,24,Not_Eligible,500.0
38.0,Male,Married,Graduate,7247.0,Private,11.4,MNC,Own,0.0,2,1,12000.0,8900.0,4300.0,8500.0,3400.0,No,0.0,658.0,214700.0,124500.0,Home Appliances EMI,41000.0,31,Eligible,6500.0
27.0,Female,Single,Professional,27000.0,Private,5.0,MNC,Own,0.0,1,0,0.0,0.0,3800.0,5300.0,2300.0,Yes,7900.0,999.0,46500.0,12600.0,E-commerce Shopping EMI,21000.0,6,Not_Eligible,1724.8
32.0,Female,Married,Graduate,59100.0,Self-employed,1.1,Mid-size,Own,0.0,4,3,0.0,0.0,8300.0,15000.0,10800.0,No,0.0,749.0,42600.0,21500.0,Personal Loan EMI,565000.0,60,Not_Eligible,9000.0
48.0,Female,Single,Post Graduate,50800.0,Private,3.0,Large Indian,Own,0.0,1,0,0.0,0.0,6300.0,11100.0,6500.0,Yes,5700.0,618.0,274400.0,152200.0,Home Appliances EMI,260000.0,16,Not_Eligible,5936.0
27.0,Male,Single,High School,54600.0,Private,1.1,MNC,Family,0.0,1,0,0.0,0.0,5500.0,16000.0,7300.0,Yes,8200.0,675.0,215500.0,65600.0,E-commerce Shopping EMI,25000.0,18,Eligible,6160.0
32.0,Female,Married,Graduate,61400.0,Private,1.3,Startup,Rented,14900.0,5,4,0.0,0.0,4300.0,17400.0,6000.0,Yes,14400.0,725.0,362100.0,203600.0,Personal Loan EMI,831000.0,38,Not_Eligible,1540.0
32.0,Female,Married,Graduate,65100.0,Private,0.5,Mid-size,Rented,19900.0,4,3,8200.0,0.0,7300.0,11600.0,9600.0,Yes,11900.0,622.0,365800.0,188800.0,Vehicle EMI,385000.0,52,Not_Eligible,500.0
58.0,Female,Married,Graduate,52000.0,Government,10.9,Startup,Own,0.0,3,2,7900.0,16100.0,5300.0,9900.0,8800.0,Yes,14700.0,817.0,300100.0,112200.0,Personal Loan EMI,854000.0,54,Not_Eligible,500.0
38.0,Female,Married,Graduate,38200.0,Private,5.6,Large Indian,Own,0.0,3,2,6400.0,0.0,2800.0,7500.0,5500.0,No,0.0,737.0,159700.0,80300.0,Home Appliances EMI,206000.0,12,Not_Eligible,8000.0
26.0,Male,Married,Professional,105881.0,Self-employed,4.6,Mid-size,Own,0.0,3,2,9200.0,0.0,9600.0,29600.0,11600.0,Yes,20200.0,686.0,653100.0,351200.0,Home Appliances EMI,282000.0,30,Not_Eligible,8454.6
58.0,Male,Married,Graduate,88800.0,Private,28.3,Large Indian,Rented,22700.0,2,1,6900.0,0.0,10200.0,25400.0,7200.0,Yes,19400.0,721.0,384300.0,192600.0,Vehicle EMI,349000.0,81,Not_Eligible,500.0
48.0,Female,Married,Professional,91300.0,Private,26.0,Mid-size,Rented,20800.0,3,2,0.0,0.0,7700.0,25600.0,18100.0,No,0.0,743.0,674000.0,287200.0,Home Appliances EMI,83000.0,11,Eligible,10505.0
38.0,Female,Married,Graduate,71300.0,Private,5.4,Startup,Rented,22900.0,4,3,9200.0,0.0,5600.0,12500.0,12800.0,No,0.0,831.0,328800.0,170500.0,Education EMI,77000.0,20,High_Risk,4980.0
32.0,Male,Single,Graduate,68600.0,Private,1.6,Large Indian,Rented,22700.0,2,1,0.0,0.0,6900.0,16600.0,12100.0,No,0.0,808.0,60200.0,30200.0,Education EMI,334000.0,25,Not_Eligible,4944.0
27.0,Male,Married,Graduate,60000.0,Private,0.5,Large Indian,Own,0.0,4,3,12100.0,0.0,4600.0,17100.0,8200.0,No,0.0,717.0,228600.0,134900.0,E-commerce Shopping EMI,14000.0,21,Eligible,7200.0
33.0,Male,Single,Graduate,33803.0,Government,10.0,MNC,Own,0.0,1,0,0.0,0.0,2900.0,7600.0,2000.0,No,0.0,737.0,175900.0,102900.0,Home Appliances EMI,246000.0,33,Eligible,12595.0
27.0,Male,Single,Post Graduate,63400.0,Private,0.5,Mid-size,Rented,18100.0,3,2,13400.0,22600.0,5100.0,16800.0,10600.0,Yes,12700.0,600.0,273300.0,64400.0,Home Appliances EMI,32000.0,19,Not_Eligible,500.0
32.0,Male,Single,Post Graduate,73200.0,Government,3.5,Mid-size,Family,0.0,2,1,2300.0,15200.0,10900.0,11500.0,6300.0,Yes,16800.0,698.0,259000.0,79000.0,Vehicle EMI,1.403e+06,24,Not_Eligible,3927.0
32.0,Female,Married,Graduate,65500.0,Self-employed,1.2,Large Indian,Rented,11900.0,2,1,5300.0,0.0,8500.0,14100.0,6200.0,No,0.0,790.0,490800.0,189200.0,Personal Loan EMI,730000.0,25,Not_Eligible,11583.0
58.0,Male,Married,Graduate,33300.0,Private,7.7,Mid-size,Own,0.0,3,2,0.0,0.0,2300.0,8200.0,1700.0,Yes,6000.0,741.0,41100.0,19200.0,Personal Loan EMI,343000.0,50,Not_Eligible,4228.0
48.0,Male,Married,Graduate,31200.0,Private,0.5,Startup,Own,0.0,3,2,14500.0,0.0,2600.0,6900.0,2100.0,No,0.0,693.0,84800.0,43200.0,Personal Loan EMI,742000.0,49,Not_Eligible,2040.0
27.0,Male,Single,Graduate,22600.0,Private,0.5,Large Indian,Own,0.0,1,0,0.0,0.0,2100.0,5800.0,1600.0,No,0.0,753.0,141800.0,76400.0,Vehicle EMI,632000.0,69,Not_Eligible,6916.8
32.0,Male,Married,Graduate,68700.0,Private,10.0,Mid-size,Own,0.0,3,2,10800.0,0.0,4700.0,19300.0,7100.0,Yes,8900.0,731.0,163900.0,82400.0,E-commerce Shopping EMI,18000.0,3,High_Risk,6265.0
27.0,Male,Single,Graduate,44700.0,Private,0.5,MNC,Family,0.0,3,2,0.0,0.0,5100.0,6700.0,8000.0,Yes,9100.0,567.0,221100.0,100000.0,E-commerce Shopping EMI,69000.0,13,Not_Eligible,3539.2
48.0,Female,Single,Graduate,81800.0,Private,12.6,Startup,Rented,20900.0,1,0,0.0,0.0,6100.0,15000.0,6000.0,Yes,19100.0,836.0,512000.0,146000.0,Vehicle EMI,1.386e+06,38,Not_Eligible,6791.4
58.0,Male,Married,Graduate,46700.0,Private,2.7,MNC,Rented,8800.0,4,3,5500.0,16400.0,6300.0,13500.0,5200.0,No,0.0,1200.0,328900.0,84500.0,Vehicle EMI,1.484e+06,39,Not_Eligible,500.0
32.0,Male,Married,Professional,62900.0,Private,5.2,Mid-size,Own,0.0,5,4,2500.0,9000.0,5700.0,18800.0,3500.0,Yes,11700.0,674.0,446500.0,165000.0,Education EMI,122000.0,33,High_Risk,4504.5
38.0,Male,Single,Graduate,56800.0,Private,0.5,Large Indian,Family,,1,0,0.0,0.0,5400.0,16600.0,5100.0,No,0.0,837.0,132400.0,31000.0,Personal Loan EMI,199000.0,49,Eligible,14256.0
27.0,Male,Single,Graduate,96600.0,Private,5.0,Mid-size,Own,0.0,1,0,0.0,0.0,7300.0,27500.0,8900.0,No,0.0,648.0,220700.0,91200.0,Home Appliances EMI,202000.0,28,Eligible,21160.0
48.0,Male,Married,Professional,138800.0,Government,1.7,MNC,Own,0.0,2,1,5400.0,0.0,10000.0,37300.0,15300.0,Yes,14100.0,719.0,90400.0,40200.0,Education EMI,333000.0,22,Not_Eligible,15876.0
38.0,Male,Married,High School,17800.0,Government,1.6,MNC,Rented,3900.0,3,2,6300.0,0.0,900.0,4000.0,3200.0,Yes,4900.0,707.0,130400.0,76600.0,Vehicle EMI,327000.0,68,Not_Eligible,500.0
48.0,Male,Married,High School,57300.0,Self-employed,2.4,Mid-size,Family,0.0,3,2,0.0,0.0,3600.0,9200.0,9400.0,No,0.0,736.0,158200.0,63300.0,Home Appliances EMI,168000.0,25,Eligible,15795.0
32.0,Female,Married,Graduate,30900.0,Private,1.0,Large Indian,Rented,4800.0,2,1,4000.0,9400.0,4500.0,7800.0,5100.0,Yes,5100.0,702.0,62900.0,31400.0,Home Appliances EMI,226000.0,11,Not_Eligible,500.0
27.0,Male,Married,High School,43800.0,Private,3.5,MNC,Rented,10300.0,2,1,0.0,0.0,2700.0,8100.0,5200.0,No,0.0,635.0,99300.0,45400.0,Vehicle EMI,577000.0,74,Not_Eligible,7000.0
32.0,Female,Married,High School,33100.0,Private,6.4,Startup,Rented,9400.0,2,1,12100.0,0.0,3400.0,6500.0,5700.0,No,0.0,750.0,183000.0,92500.0,Home Appliances EMI,152000.0,22,Not_Eligible,500.0
58.0,Male,Married,Graduate,52200.0,Private,16.4,MNC,Rented,14100.0,2,1,0.0,0.0,6000.0,9300.0,10200.0,Yes,5700.0,703.0,313500.0,128500.0,Education EMI,314000.0,35,Not_Eligible,2656.5
38.0,Female,Married,Graduate,43200.0,Private,6.8,Large Indian,Rented,10900.0,3,2,4100.0,0.0,4200.0,7300.0,2200.0,Yes,7900.0,639.0,340400.0,75400.0,Home Appliances EMI,70000.0,29,Not_Eligible,2032.8
58.0,Male,Married,Graduate,42700.0,Government,1.6,Mid-size,Rented,8800.0,3,2,7600.0,0.0,4200.0,6900.0,3400.0,Yes,10900.0,643.0,144700.0,67700.0,E-commerce Shopping EMI,49000.0,18,Not_Eligible,500.0
27.0,Male,Single,Graduate,40900.0,Private,1.1,Large Indian,Rented,12500.0,2,1,9500.0,0.0,4000.0,10600.0,7100.0,No,0.0,619.0,260800.0,62100.0,E-commerce Shopping EMI,65000.0,13,Not_Eligible,500.0
27.0,Male,Single,Graduate,60200.0,Government,0.6,Large Indian,Own,0.0,2,1,0.0,0.0,8900.0,9600.0,6800.0,No,0.0,783.0,315300.0,91100.0,Education EMI,168000.0,25,Eligible,20940.0
48.0,Male,Married,High School,53800.0,Private,17.9,Mid-size,Family,0.0,2,1,11100.0,0.0,5700.0,12200.0,7800.0,No,0.0,819.0,310200.0,118500.0,Vehicle EMI,1.233e+06,69,Not_Eligible,10200.0
48.0,Male,Single,Professional,91000.0,Private,11.9,Large Indian,Own,0.0,2,1,8500.0,0.0,6300.0,19100.0,13400.0,No,0.0,850.0,412600.0,104300.0,Vehicle EMI,1.29e+06,27,Not_Eligible,26220.0
38.0,Female,Married,Post Graduate,125900.0,Private,5.3,MNC,Own,0.0,4,3,0.0,0.0,7100.0,34900.0,13500.0,No,0.0,784.0,786400.0,341200.0,E-commerce Shopping EMI,58000.0,10,Eligible,46464.0
32.0,Male,Married,Post Graduate,70100.0,Private,0.5,Mid-size,Rented,22400.0,4,3,0.0,0.0,7100.0,15300.0,8300.0,No,0.0,626.0,441900.0,239600.0,Personal Loan EMI,480000.0,29,Not_Eligible,5984.0
38.0,Male,Married,Professional,69500.0,Private,6.5,MNC,Own,0.0,3,2,11600.0,0.0,7700.0,11500.0,10300.0,Yes,15000.0,679.0,135300.0,50400.0,Personal Loan EMI,879000.0,58,Not_Eligible,3752.0
38.0,Female,Married,High School,81900.0,Private,0.5,MNC,Own,0.0,3,2,0.0,13800.0,12000.0,16700.0,7100.0,Yes,19700.0,736.0,378100.0,183200.0,Personal Loan EMI,207000.0,37,Not_Eligible,3528.0
48.0,Male,Single,High School,48100.0,Private,3.4,Large Indian,Family,0.0,1,0,0.0,0.0,3700.0,9300.0,5500.0,No,0.0,718.0,267900.0,58200.0,E-commerce Shopping EMI,148000.0,3,Not_Eligible,14800.0
58.0,Female,Married,Graduate,64300.0,Private,16.8,Mid-size,Family,0.0,3,2,0.0,0.0,9400.0,9800.0,9000.0,No,0.0,657.0,322600.0,142800.0,E-commerce Shopping EMI,191000.0,15,Eligible,18050.0
48.0,Male,Married,High School,37700.0,Private,5.3,MNC,Family,0.0,4,3,12700.0,14600.0,4700.0,6900.0,4500.0,Yes,9900.0,683.0,39900.0,17400.0,Personal Loan EMI,861000.0,38,Not_Eligible,500.0
38.0,Male,Single,Graduate,73000.0,Private,1.7,Startup,Rented,15000.0,1,0,0.0,0.0,5200.0,12900.0,9100.0,No,0.0,589.0,490800.0,281900.0,Education EMI,64000.0,27,Eligible,13552.0
27.0,Female,Married,High School,31200.0,Private,1.8,Mid-size,Rented,7000.0,3,2,0.0,0.0,2300.0,6600.0,2800.0,No,0.0,731.0,26300.0,13200.0,Vehicle EMI,1.498e+06,24,Not_Eligible,5000.0
27.0,Male,Single,High School,33400.0,Private,1.9,Large Indian,Family,0.0,3,2,0.0,0.0,2700.0,7200.0,2000.0,No,0.0,736.0,108900.0,56100.0,E-commerce Shopping EMI,81000.0,6,Not_Eligible,10750.0
32.0,Male,Married,Graduate,15000.0,Private,0.7,Large Indian,Own,0.0,2,1,9200.0,0.0,2200.0,3500.0,2100.0,No,0.0,663.0,41900.0,24600.0,Home Appliances EMI,52000.0,32,Not_Eligible,500.0
48.0,Male,Married,Graduate,65500.0,Government,4.9,Mid-size,Own,0.0,3,2,0.0,0.0,3500.0,10600.0,11000.0,No,0.0,834.0,243300.0,56900.0,E-commerce Shopping EMI,65000.0,15,Eligible,26664.0
38.0,Male,Married,High School,59500.0,Private,16.0,Mid-size,Family,0.0,4,3,0.0,19400.0,4000.0,17100.0,9800.0,No,0.0,730.0,81300.0,30100.0,Personal Loan EMI,224000.0,60,Not_Eligible,3680.0
